SMILES,Compound_Name,Bioavailability_%,MW,HBA,RotBonds,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeteroatoms,NumHeavyAtoms,NumAtoms,NumBonds,FractionCsp3,NumValenceElectrons,NumLipinskiHBA,Molar_Refractivity,BertzCT,LabuteASA,PEOE_VSA1,PEOE_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,EState_VSA3,EState_VSA7,NumNitrogen,ECFP_0,ECFP_4,ECFP_12,ECFP_14,ECFP_18,ECFP_19,ECFP_22,ECFP_25,ECFP_27,ECFP_30,ECFP_33,ECFP_35,ECFP_37,ECFP_38,ECFP_39,ECFP_40,ECFP_42,ECFP_44,ECFP_46,ECFP_48,ECFP_53,ECFP_56,ECFP_62,ECFP_63
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,80.0,206.28499999999997,1,4,1,1,0,0,2,15,15,15,0.46153846153846156,82,1,61.03480000000004,324.8941190021566,90.94175377251301,5.106527394840706,4.794537184071822,0.0,5.917906046161393,33.10993926815928,0.0,5.917906046161393,24.26546827384644,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(=O)Oc1ccccc1C(=O)O,Aspirin,68.0,180.15899999999996,3,2,1,1,0,0,4,13,13,13,0.1111111111111111,68,3,44.71030000000002,343.2228677267164,74.75705264447721,9.843390348640755,4.794537184071822,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(C)c1cc(C(=O)O)ccc1O,Naproxen,95.0,180.20299999999997,2,2,1,1,0,0,3,13,13,13,0.3,70,2,49.155100000000026,328.94178503314396,76.64116118151918,10.213054789681411,0.0,0.0,0.0,19.76538044554264,0.0,5.563451491696996,13.847474399381248,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
O=C(O)Cc1ccccc1Nc2c(Cl)cccc2Cl,Diclofenac,54.0,296.153,2,4,2,2,0,0,5,19,19,20,0.07142857142857142,98,2,77.52650000000003,593.8950014443018,120.33053204396538,10.423315998847038,4.794537184071822,0.0,0.0,6.4208216229260096,5.316788604006331,26.983490668546775,6.06636706846161,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
CC(C)c1ccc(cc1)C(C)C(=O)O,Isobuprofen,78.0,192.25799999999995,1,3,1,1,0,0,2,14,14,14,0.4166666666666667,76,1,56.58180000000004,311.59854355066295,84.5768116581164,5.106527394840706,4.794537184071822,0.0,0.0,32.60702369139466,0.0,5.917906046161393,24.26546827384644,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(C)NCC(COc1ccccc1)O,Propranolol,26.0,209.28900000000002,3,6,1,1,0,0,3,15,15,15,0.5,84,3,61.08250000000004,261.5844462065182,91.07869697118757,15.160178952647085,0.0,5.316788604006331,0.0,25.993281616277514,13.151638370425493,19.193479199573453,44.179309741689295,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
CN1CCC[C@H]1c2cccnc2,Nicotine,20.0,162.236,2,1,2,1,1,1,2,12,12,13,0.5,64,2,48.842000000000034,245.27530899395384,73.22976418910065,0.0,9.883888251797686,9.883888251797686,0.0,18.88348407499998,13.592428388589765,6.041840829147961,18.460054211687762,2,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1
CCN(CC)c1ccc(cc1)C(c2ccccc2)c3ccccc3,Diphenhydramine,62.0,315.46000000000004,1,6,3,3,0,0,1,24,24,26,0.21739130434782608,122,1,103.83200000000004,688.5088533449272,145.13013577381145,4.899909730850478,0.0,0.0,0.0,19.76538044554264,17.98942254267563,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Phenytoin,75.0,206.28499999999997,1,4,1,1,0,0,2,15,15,15,0.46153846153846156,82,1,61.03480000000004,324.8941190021566,90.94175377251301,5.106527394840706,4.794537184071822,0.0,5.917906046161393,33.10993926815928,0.0,5.917906046161393,24.26546827384644,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(=O)Nc1ccc(O)cc1,Acetaminophen,88.0,151.165,2,1,1,1,0,0,3,11,11,11,0.125,58,2,42.41050000000002,253.29949758389105,64.66690538413799,10.423315998847038,4.794537184071822,0.0,0.0,6.923737199690624,5.316788604006331,5.687386274683562,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
